#{"t_start": 1648476916.1027277, "env_id": "CarRacing-v0"}
r,l,t
-59.409594,1000,2.922036
-67.857143,1000,5.16904
-65.408805,1000,7.924883
-60.655738,1000,10.380168
-63.636364,1000,12.988999
-61.538462,1000,15.784999
-66.101695,1000,18.332999
-65.753425,1000,20.924999
-61.538462,1000,23.649054
-62.585034,1000,26.943134
-59.558824,1000,31.201167
-66.442953,1000,34.005256
-66.666667,1000,37.022699
-71.061093,1000,39.962757
-72.560976,1000,43.15311
-73.509934,1000,45.973986
-63.636364,1000,48.932936
-61.089494,1000,51.716653
-65.753425,1000,54.527542
-74.063401,1000,57.561084
-72.477064,1000,60.471872
-64.401294,1000,63.784045
-67.105263,1000,66.979249
-58.041958,1000,69.705697
-63.815789,1000,72.535428
-60.0,1000,75.166443
-67.532468,1000,78.050504
-59.259259,1000,80.654505
-59.107807,1000,83.79057
-63.636364,1000,86.771625
-69.491525,1000,90.306334
-62.199313,1000,93.636599
-59.854015,1000,96.8106
-72.508591,1000,99.54712
-65.034965,1000,102.699173
-60.0,1000,106.068275
-59.839357,1000,109.78892
-64.516129,1000,113.57892
-62.585034,1000,116.717981
-65.714286,1000,119.700975
-67.845659,1000,122.340976
-66.887417,1000,125.135485
-64.664311,1000,127.663486
-62.711864,1000,130.27849
-60.13289,1000,133.348488
-60.39604,1000,136.999486
-66.216216,1000,140.296502
-59.183673,1000,143.835522
-61.267606,1000,146.784522
-59.409594,1000,151.04082
-60.31746,1000,157.774822
-60.714286,1000,163.447821
-74.074074,1000,169.15982
-75.15528,1000,174.91482
-82.758621,1000,180.592846
-83.766234,1000,186.537846
-54.063604,1000,192.257364
-57.51634,1000,198.168363
-81.549815,1000,204.276364
-77.678571,1000,210.265363
-82.876712,1000,216.791367
-80.066445,1000,223.048405
-38.110749,1000,229.36992
-57.295374,1000,235.576921
-43.820225,1000,242.020433
-62.457338,1000,248.254956
-69.798658,1000,254.570957
-26.174497,1000,261.210473
-51.327434,1000,267.345989
-59.70696,1000,273.648992
-82.45614,1000,279.98599
-78.947368,1000,286.444518
-70.684039,1000,293.024032
-83.221477,1000,299.532544
-63.369963,1000,307.049545
-85.239852,1000,313.39807
-83.552632,1000,322.082071
-81.273408,1000,329.895068
-63.380282,1000,336.786588
-51.515152,1000,343.407131
-64.60177,1000,350.320131
-76.821192,1000,357.317653
-52.542373,1000,364.156166
10.367893,1000,371.084683
-82.698962,1000,378.499197
-71.962617,1000,385.567196
-17.910448,1000,392.499197
-22.807018,1000,399.55171
-30.81761,1000,406.72471
-41.979522,1000,413.723708
-0.355872,1000,420.622231
-84.520124,1000,427.82223
-9.937888,1000,434.839232
-26.282051,1000,441.908231
-29.71246,1000,448.90323
-13.49481,1000,456.15723
-51.140065,1000,464.156231
31.487889,1000,471.654231
7.913669,1000,478.58623
-23.611111,1000,485.633231
-26.910299,1000,492.871307
70.289855,1000,499.729309
-21.875,1000,507.064307
-15.857605,1000,514.083309
-35.294118,1000,521.395307
-17.355372,1000,528.306308
-28.338762,1000,535.494307
21.212121,1000,542.752307
-25.423729,1000,549.843309
24.161074,1000,557.027308
-31.654676,1000,564.086305
-25.531915,1000,571.153307
-10.596026,1000,578.593824
40.522876,1000,585.755823
-101.732558,716,590.911823
67.22408,1000,598.010824
-28.571429,1000,605.278823
-45.337621,1000,612.496822
-16.0,1000,619.419824
-23.611111,1000,626.399824
-25.423729,1000,633.643823
-11.290323,1000,640.494823
-6.25,1000,647.637825
-22.558923,1000,654.702823
-18.215613,1000,661.717826
-26.573427,1000,668.716822
-36.102236,1000,675.908824
-28.104575,1000,682.954823
-47.565543,1000,690.019834
-7.534247,1000,697.219824
-110.244304,768,702.666823
3.448276,1000,710.413348
-24.050633,1000,717.735352
-24.460432,1000,724.615935
32.867133,1000,731.592933
2.649007,1000,738.821932
-22.535211,1000,745.902935
-27.868852,1000,753.155935
-10.652921,1000,760.302933
5.263158,1000,767.447934
-29.487179,1000,774.702937
-28.977273,1000,782.081935
-29.032258,1000,789.180932
-30.81761,1000,796.31395
-2.439024,1000,803.516933
-16.932907,1000,810.703933
-34.375,1000,818.050933
-12.350598,1000,825.043932
-30.599369,1000,832.434935
-24.460432,1000,839.323931
-18.287938,1000,846.341932
-29.012346,1000,853.482934
-25.423729,1000,860.684933
-30.921053,1000,867.865934
-20.454545,1000,874.903932
-50.0,1000,881.899934
-24.460432,1000,889.079934
-10.596026,1000,896.353933
24.590164,1000,903.646932
-20.289855,1000,910.535932
-4.761905,1000,917.923933
-27.868852,1000,924.931932
-20.863309,1000,931.914932
-17.602996,1000,938.958932
-18.215613,1000,945.873933
-36.936937,1000,953.104933
-25.675676,1000,960.066932
-25.423729,1000,967.083934
-27.586207,1000,974.260933
28.90625,1000,981.152932
-13.194444,1000,988.309934
-26.910299,1000,995.283935
-18.831169,1000,1003.557933
-35.810811,1000,1011.01895
-28.571429,1000,1018.046936
-1.360544,1000,1027.624883
-24.460432,1000,1035.456882
-34.169279,1000,1042.478881
-21.311475,1000,1050.855882
-22.535211,1000,1061.699883
36.507937,1000,1070.187882
-18.819188,1000,1078.017883
-12.891986,1000,1085.871884
-23.076923,1000,1094.811923
-15.057915,1000,1102.787922
-43.521595,1000,1110.217922
-65.517241,1000,1117.970923
-32.515337,1000,1125.583922
-31.343284,1000,1132.747923
-27.152318,1000,1140.745921
0.694444,1000,1148.747922
-26.910299,1000,1156.589924
-34.782609,1000,1164.288923
-67.63754,1000,1172.311922
61.716172,1000,1180.025922
-22.779923,1000,1187.744922
-59.627329,1000,1195.209941
-37.28223,1000,1202.229923
-27.631579,1000,1209.636922
-72.560976,1000,1216.964924
-21.708185,1000,1224.116922
-30.930931,1000,1231.336445
-18.088737,1000,1238.933471
-25.675676,1000,1247.354473
-26.829268,1000,1254.551474
-50.292398,1000,1261.942474
-77.777778,1000,1269.771052
-14.473684,1000,1276.852564
43.356643,1000,1283.975589
-47.712418,1000,1291.466589
-26.174497,1000,1299.503106
7.255521,1000,1307.001615
-14.473684,1000,1314.455616
38.059701,1000,1321.920129
-26.910299,1000,1328.930652
-34.579439,1000,1336.003653
-14.893617,1000,1343.67069
-23.076923,1000,1352.497211
-9.465021,1000,1359.910742
-16.666667,1000,1367.670252
25.0,1000,1375.336249
-23.076923,1000,1383.953773
35.036496,1000,1391.78877
-79.522184,1000,1399.076286
30.434783,1000,1406.124286
-60.784314,1000,1413.117287
-42.95302,1000,1420.459803
-16.967509,1000,1428.792362
-14.396887,1000,1436.390358
-26.517572,1000,1443.941386
-24.657534,1000,1451.258909
15.625,1000,1459.28697
-18.518519,1000,1467.218012
-27.899687,1000,1474.458012
114.788732,1000,1481.726012
110.169492,1000,1489.58212
8.196721,1000,1496.775117
-13.49481,1000,1504.259635
-33.121019,1000,1512.000635
-87.341772,1000,1519.922635
-17.197452,1000,1527.271634
-32.098765,1000,1535.009637
85.873606,1000,1542.226635
-56.521739,1000,1549.360151
-48.275862,1000,1557.297672
-69.96997,1000,1565.204671
49.019608,1000,1572.548671
-56.709957,1000,1579.882671
-29.292929,1000,1587.13567
27.737226,1000,1594.345673
32.911392,1000,1601.562193
-7.142857,1000,1609.852219
-73.509934,1000,1616.901218
-14.772727,1000,1624.344221
153.424658,1000,1632.281222
-21.501706,1000,1641.06122
35.036496,1000,1648.873705
-9.385113,1000,1658.014787
14.391144,1000,1666.070791
108.333333,1000,1673.659786
-18.75,1000,1681.142786
-32.038835,1000,1688.54479
-7.534247,1000,1698.433308
27.035831,1000,1706.019827
-64.664311,1000,1713.725827
-8.474576,1000,1721.369825
30.434783,1000,1729.797826
3.174603,1000,1738.806828
107.017544,1000,1746.609347
-42.760943,1000,1754.432346
2.739726,1000,1761.602349
6.719368,1000,1770.339345
45.32872,1000,1779.776345
-6.896552,1000,1787.232346
-49.640288,1000,1794.618344
8.695652,1000,1802.279344
-31.034483,1000,1809.702345
-57.295374,1000,1817.174346
-61.130742,1000,1824.038345
53.846154,1000,1831.065345
-12.280702,1000,1837.875346
-11.428571,1000,1845.343347
55.378486,1000,1852.384875
41.414141,1000,1859.832874
-12.052117,1000,1867.407395
45.400593,1000,1877.04039
12.0,1000,1884.800387
17.46988,1000,1891.757388
-15.441176,1000,1898.562391
-3.225806,1000,1907.07939
-12.162162,1000,1916.871391
-48.717949,1000,1925.707393
-67.532468,1000,1935.421389
83.520599,1000,1942.570389
-25.566343,1000,1949.582388
-49.367089,1000,1957.321388
554.275093,1000,1964.373388
23.674912,1000,1971.314386
14.285714,1000,1978.584388
-23.076923,1000,1985.97239
-26.829268,1000,1993.160388
11.486486,1000,2000.391388
-24.76489,1000,2007.74739
-24.731183,1000,2014.851387
149.070632,1000,2021.893389
-46.031746,1000,2029.05839
113.793103,1000,2036.366388
-25.566343,1000,2043.467387
-16.666667,1000,2050.76239
89.189189,1000,2057.739389
-8.730159,1000,2064.979389
-45.16129,1000,2072.008389
109.558824,1000,2079.061387
-45.255474,1000,2086.463389
-17.981073,1000,2096.795905
-26.517572,1000,2104.594906
-43.143813,1000,2112.244905
135.074627,1000,2120.158905
-0.321543,1000,2127.909906
-44.827586,1000,2135.893905
110.714286,1000,2143.600908
-38.461538,1000,2150.835905
-70.909091,1000,2158.140944
-18.727915,1000,2166.066944
24.293785,1000,2173.549997
-22.330097,1000,2183.630998
-4.761905,1000,2193.542996
-63.768116,1000,2201.229998
-29.411765,1000,2209.445996
-13.194444,1000,2216.840996
13.72549,1000,2224.129998
-16.923077,1000,2232.17452
11.864407,1000,2240.01452
-63.815789,1000,2247.500518
-30.232558,1000,2254.559519
-54.545455,1000,2262.150519
55.555556,1000,2269.622519
-48.979592,1000,2277.18352
-36.241611,1000,2284.71904
95.945946,1000,2292.339043
-40.298507,1000,2299.929041
-4.411765,1000,2307.533555
18.055556,1000,2315.211558
48.387097,1000,2322.870556
15.107914,1000,2330.664641
18.644068,1000,2338.265255
0.694444,1000,2346.02177
13.333333,1000,2353.726308
173.684211,1000,2361.680308
52.317881,1000,2369.063308
209.859155,1000,2376.710309
-17.460317,1000,2384.118308
11.524164,1000,2391.523309
14.114114,1000,2398.929308
